Year,AverageTemperature,MinimumTemperature,MaximumTemperature,Country
1752,4.786,-3.342,10.115,Hungary
1752,-1.655,-5.212,0.459,Iceland
1752,7.204,4.377,9.2,Ireland
1752,7.759,5.362,10.411,Isle Of Man
1752,8.75,3.129,12.985,Italy
1752,0.302,-8.068,5.665,Latvia
1752,0.527,-5.332,4.807,Liechtenstein
1752,1.106,-7.086,6.365,Lithuania
1752,5.548,0.992,9.208,Luxembourg
1752,5.431,-2.555,10.253,Macedonia
1752,3.361,-5.859,9.047,Moldova
1752,4.795,-0.685,8.649,Monaco
1752,5.471,-1.954,10.041,Montenegro
1752,5.988,2.17,9.857,Netherlands
1752,-4.325,-10.283,0.414,Norway
1752,2.855,-5.003,7.916,Poland
1752,3.669,-5.089,8.863,Romania
1752,10.298,4.806,14.619,San Marino
1752,5.072,-3.061,9.949,Serbia
1752,2.949,-4.694,7.737,Slovakia
1752,5.146,-1.757,9.618,Slovenia
1752,9.621,4.563,13.093,Spain
1752,-2.603,-10.018,3.087,Sweden
1752,2.916,-2.593,6.939,Switzerland
1752,1.985,-7.329,7.993,Ukraine
1752,6.194,3.197,8.86,United Kingdom
1753,12.557,1.4,23.532,Albania
1753,11.235,0.938,21.148,Andorra
1753,6.139,-6.398,16.881,Austria
1753,5.652,-9.095,18.032,Belarus
1753,9.457,-1.215,18.072,Belgium
1753,10.366,-1.973,21.589,Bosnia And Herzegovina
1753,10.4,-1.841,22.084,Bulgaria
1753,11.288,-1.311,22.721,Croatia
1753,7.495,-4.72,18.175,Czech Republic
1753,7.568,-2.22,16.139,Denmark
1753,4.659,-10.779,16.871,Estonia
1753,6.5,0.825,10.59,Faroe Islands
1753,1.121,-15.196,15.016,Finland
1753,10.43,-0.153,19.611,France
1753,8.029,-3.234,17.692,Germany
1753,14.713,4.276,25.615,Greece
1753,9.619,-3.849,21.373,Hungary
1753,1.316,-6.698,8.881,Iceland
1753,9.369,3.311,15.218,Ireland
1753,9.306,3.802,14.245,Isle Of Man
1753,12.737,1.828,23.307,Italy
1753,5.135,-10.161,17.158,Latvia
1753,4.613,-7.573,14.948,Liechtenstein
1753,5.709,-8.607,17.196,Lithuania
1753,9.138,-2.035,18.332,Luxembourg
1753,10.311,-2.393,22.222,Macedonia
1753,18.474,10.809,26.537,Malta
1753,8.813,-5.131,21.739,Moldova
1753,9.066,-2.924,20.228,Monaco
1753,10.156,-2.162,21.81,Montenegro
1753,9.048,-0.815,17.065,Netherlands
1753,-0.054,-12.686,10.712,Norway
1753,7.263,-5.539,18.296,Poland
1753,14.682,6.431,22.859,Portugal
1753,8.655,-4.668,20.69,Romania
1753,13.816,3.443,23.631,San Marino
1753,9.91,-3.196,21.635,Serbia
1753,7.396,-5.18,18.461,Slovakia
1753,9.611,-3.061,20.874,Slovenia
1753,13.628,3.763,23.713,Spain
1753,2.195,-12.895,14.257,Sweden
1753,6.995,-5.153,17.403,Switzerland
1753,19.961,8.754,31.022,Tunisia
1753,7.525,-6.765,20.61,Ukraine
1753,8.593,1.564,15.087,United Kingdom
1754,12.548,0.535,22.438,Albania
1754,11.116,1.831,20.325,Andorra
1754,5.907,-5.543,15.595,Austria
1754,5.693,-8.626,17.493,Belarus
1754,9.138,0.897,17.547,Belgium
1754,10.252,-1.999,20.253,Bosnia And Herzegovina
1754,10.457,-2.904,21.224,Bulgaria
1754,11.13,-0.991,21.279,Croatia
1754,7.285,-3.883,16.916,Czech Republic
1754,7.433,-0.825,15.6,Denmark
1754,4.654,-8.445,16.502,Estonia
1754,6.622,2.028,10.301,Faroe Islands
1754,1.244,-12.665,14.827,Finland
1754,10.236,1.444,18.955,France
1754,7.76,-1.735,16.853,Germany
1754,14.795,2.763,24.75,Greece
1754,9.501,-3.529,20.099,Hungary
1754,1.558,-5.829,8.487,Iceland
1754,9.356,3.418,14.625,Ireland
1754,9.209,3.368,14.426,Isle Of Man
1754,12.563,1.558,22.316,Italy
1754,5.123,-7.685,16.613,Latvia
1754,4.327,-6.311,13.922,Liechtenstein
1754,5.677,-7.008,16.468,Lithuania
1754,8.828,0.081,17.632,Luxembourg
1754,10.322,-2.716,21.196,Macedonia
1754,18.513,8.552,26.126,Malta
1754,8.888,-6.017,21.044,Moldova
1754,8.813,-1.756,19.222,Monaco
1754,10.108,-2.463,20.635,Montenegro
1754,8.706,0.923,16.772,Netherlands
1754,0.084,-9.975,10.14,Norway
1754,7.148,-4.872,17.12,Poland
1754,14.788,6.29,22.096,Portugal
1754,8.67,-5.17,19.779,Romania
1754,13.609,2.552,22.938,San Marino
1754,9.863,-3.262,20.493,Serbia
1754,7.269,-4.968,17.197,Slovakia
1754,9.407,-2.473,19.41,Slovenia
1754,13.655,4.136,22.918,Spain
1754,2.274,-8.839,13.58,Sweden
1754,6.712,-3.58,16.506,Switzerland
1754,20.038,8.274,30.058,Tunisia
1754,7.635,-7.715,20.068,Ukraine
1754,8.479,2.229,14.638,United Kingdom
1755,12.323,-1.027,22.763,Albania
1755,10.807,-0.747,19.787,Andorra
1755,5.672,-9.512,17.126,Austria
1755,5.58,-10.03,19.154,Belarus
1755,8.886,-2.735,18.33,Belgium
1755,10.038,-4.788,21.223,Bosnia And Herzegovina
1755,10.244,-4.134,21.658,Bulgaria
1755,10.915,-4.252,22.442,Croatia
1755,7.063,-8.02,18.553,Czech Republic
1755,7.222,-4.23,17.208,Denmark
1755,4.554,-10.297,18.952,Estonia
1755,6.268,1.299,10.962,Faroe Islands
1755,1.033,-13.573,16.902,Finland
1755,9.911,-1.762,18.999,France
1755,7.52,-5.97,18.031,Germany
1755,14.555,2.183,24.771,Greece
1755,9.299,-6.854,21.588,Hungary
1755,1.202,-5.421,9.23,Iceland
1755,9.05,2.661,15.426,Ireland
1755,8.925,2.237,14.282,Isle Of Man
1755,12.33,-0.801,22.265,Italy
1755,5.004,-9.776,18.944,Latvia
1755,4.053,-10.458,14.963,Liechtenstein
1755,5.541,-9.33,18.655,Lithuania
1755,8.546,-3.82,18.406,Luxembourg
1755,10.099,-4.797,21.539,Macedonia
1755,18.255,8.824,25.218,Malta
1755,8.714,-7.239,21.919,Moldova
1755,8.555,-5.359,18.95,Monaco
1755,9.89,-4.762,21.211,Montenegro
1755,8.522,-2.242,17.465,Netherlands
1755,-0.272,-11.143,11.949,Norway
1755,6.966,-8.353,18.897,Poland
1755,14.479,5.617,22.01,Portugal
1755,8.478,-7.197,20.779,Romania
1755,13.392,0.544,22.679,San Marino
1755,9.652,-5.867,21.454,Serbia
1755,7.072,-8.307,18.843,Slovakia
1755,9.186,-6.096,20.721,Slovenia
1755,13.345,2.648,22.602,Spain
1755,1.921,-10.91,15.946,Sweden
1755,6.4,-7.712,16.992,Switzerland
1755,19.765,7.074,29.766,Tunisia
1755,7.478,-8.194,21.025,Ukraine
1755,8.197,0.689,15.252,United Kingdom
1756,13.026,2.895,22.508,Albania
1756,11.098,2.038,19.577,Andorra
1756,6.464,-4.798,16.824,Austria
1756,6.297,-6.411,18.89,Belarus
1756,9.398,-0.535,18.365,Belgium
1756,10.77,-0.083,20.731,Bosnia And Herzegovina
1756,11.012,-0.419,21.48,Bulgaria
1756,11.651,0.567,21.93,Croatia
1756,8.08,-3.259,18.65,Czech Republic
1756,8.003,-0.421,17.946,Denmark
1756,5.038,-6.438,18.19,Estonia
1756,6.778,2.32,10.812,Faroe Islands
1756,1.425,-10.833,15.868,Finland
1756,10.227,0.886,18.674,France
1756,8.409,-2.131,18.377,Germany
1756,15.257,5.447,24.619,Greece
1756,10.165,-2.206,21.335,Hungary
1756,1.738,-5.231,8.85,Iceland
1756,9.501,2.829,15.307,Ireland
1756,9.394,4.226,14.648,Isle Of Man
1756,12.849,3.848,21.826,Italy
1756,5.597,-6.236,18.471,Latvia
1756,4.638,-5.949,14.449,Liechtenstein
1756,6.263,-5.201,18.471,Lithuania
1756,9.053,-1.107,18.413,Luxembourg
1756,10.829,-0.942,21.332,Macedonia
1756,18.795,12.45,25.412,Malta
1756,9.511,-3.664,21.723,Moldova
1756,8.863,-0.824,18.409,Monaco
1756,10.616,-0.564,20.894,Montenegro
1756,9.167,-0.059,18.038,Netherlands
1756,0.195,-9.246,11.424,Norway
1756,7.976,-3.749,19.352,Poland
1756,14.834,6.222,21.678,Portugal
1756,9.296,-3.155,20.458,Romania
1756,13.995,6.049,22.352,San Marino
1756,10.429,-1.555,20.981,Serbia
1756,8.013,-3.597,18.775,Slovakia
1756,9.907,-1.187,20.187,Slovenia
1756,13.676,4.052,22.366,Spain
1756,2.393,-8.393,15.393,Sweden
1756,6.789,-3.505,16.283,Switzerland
1756,20.229,9.702,29.396,Tunisia
1756,8.236,-5.005,20.796,Ukraine
1756,8.67,1.416,15.528,United Kingdom
1757,12.73,0.283,25.843,Albania
1757,10.868,0.384,22.633,Andorra
1757,6.097,-6.517,19.363,Austria
1757,6.302,-9,22.228,Belarus
1757,9.221,-1.187,20.789,Belgium
1757,10.439,-2.737,23.891,Bosnia And Herzegovina
1757,10.76,-3.128,24.887,Bulgaria
1757,11.307,-1.905,25.003,Croatia
1757,7.697,-4.692,21.344,Czech Republic
1757,8.038,-2.107,20.056,Denmark
1757,5.271,-9.314,21.392,Estonia
1757,6.866,1.529,13.46,Faroe Islands
1757,1.702,-13.846,19.132,Finland
1757,10.016,-0.305,21.422,France
1757,8.109,-3.019,20.889,Germany
1757,14.999,2.901,28.066,Greece
1757,9.841,-4.475,24.248,Hungary
1757,1.774,-5.984,11.889,Iceland
1757,9.463,2.254,17.979,Ireland
1757,9.365,2.905,17.124,Isle Of Man
1757,12.533,1.112,24.935,Italy
1757,5.741,-8.762,21.551,Latvia
1757,4.296,-7.525,16.937,Liechtenstein
1757,6.302,-7.794,21.443,Lithuania
1757,8.843,-1.863,20.907,Luxembourg
1757,10.543,-3.55,24.685,Macedonia
1757,18.537,9.46,28.41,Malta
1757,9.335,-6.39,25.152,Moldova
1757,8.576,-3.375,21.391,Monaco
1757,10.307,-3.145,24.166,Montenegro
1757,9.033,-0.979,20.289,Netherlands
1757,0.38,-11.084,14.15,Norway
1757,7.746,-5.842,22.101,Poland
1757,14.71,5.165,25.027,Portugal
1757,9.051,-5.836,23.774,Romania
1757,13.649,2.844,25.412,San Marino
1757,10.124,-4.142,24.224,Serbia
1757,7.695,-5.717,21.643,Slovakia
1757,9.549,-3.474,23.071,Slovenia
1757,13.512,2.75,25.614,Spain
1757,2.628,-10.792,17.931,Sweden
1757,6.482,-5.093,18.944,Switzerland
1757,20.017,7.282,32.879,Tunisia
1757,8.129,-7.761,24.297,Ukraine
1757,8.638,0.705,17.978,United Kingdom
1758,11.444,-1.261,21.464,Albania
1758,10.145,-0.028,18.266,Andorra
1758,5.363,-8.205,15.576,Austria
1758,24.65,21.551,27.752,Bahamas
1758,4.344,-11.452,17.532,Belarus
1758,8.914,-1.699,17.471,Belgium
1758,9.395,-4.269,19.355,Bosnia And Herzegovina
1758,9.199,-5.087,20.511,Bulgaria
1758,10.38,-3.413,20.656,Croatia
1758,6.798,-6.878,17.059,Czech Republic
1758,7.116,-3.003,16.532,Denmark
1758,3.24,-11.014,16.798,Estonia
1758,5.584,1.001,9.807,Faroe Islands
1758,-0.338,-15.307,15.057,Finland
1758,9.486,-0.829,17.522,France
1758,7.496,-4.647,17.088,Germany
1758,13.491,1.251,23.863,Greece
1758,8.688,-6.465,19.787,Hungary
1758,0.151,-6.884,8.301,Iceland
1758,8.507,1.872,13.872,Ireland
1758,8.608,2.703,14.088,Isle Of Man
1758,11.792,0.296,20.628,Italy
1758,3.844,-10.585,16.928,Latvia
1758,3.828,-8.842,13.525,Liechtenstein
1758,4.551,-9.763,16.751,Lithuania
1758,8.512,-2.649,17.349,Luxembourg
1758,9.176,-5.231,20.305,Macedonia
1758,17.276,8.413,24.246,Malta
1758,7.551,-8.74,20.642,Moldova
1758,8.151,-3.534,17.267,Monaco
1758,9.097,-4.735,19.682,Montenegro
1758,8.717,-1.283,17.359,Netherlands
1758,-1.105,-11.9,10.462,Norway
1758,6.429,-8.126,17.191,Poland
1758,13.356,4.249,20.626,Portugal
1758,7.507,-7.982,19.22,Romania
1758,12.94,1.835,21.505,San Marino
1758,8.857,-5.928,19.667,Serbia
1758,6.509,-7.901,17.097,Slovakia
1758,8.766,-4.91,19.024,Slovenia
1758,12.389,2.033,21.07,Spain
1758,1.205,-11.57,14.174,Sweden
1758,6.097,-6.07,15.509,Switzerland
1758,18.685,6.321,28.76,Tunisia
1758,6.181,-10.233,19.79,Ukraine
1758,7.915,0.498,14.364,United Kingdom
1759,12.493,1.566,22.689,Albania
1759,11.3,2.622,20.897,Andorra
1759,6.364,-5.582,17.668,Austria
1759,24.544,18.17,28.554,Bahamas
1759,5.536,-9.702,18.166,Belarus
1759,9.864,-0.272,19.909,Belgium
1759,10.438,-1.148,21.249,Bosnia And Herzegovina
1759,10.24,-2.402,21.516,Bulgaria
1759,11.418,-0.344,22.697,Croatia
1759,7.721,-4.909,19.298,Czech Republic
1759,8.21,-2.284,18.508,Denmark
1759,4.636,-10.107,17.543,Estonia
1759,6.636,0.383,11.496,Faroe Islands
1759,1.008,-14.384,14.969,Finland
1759,10.601,1.592,20.305,France
1759,8.413,-3.1,19.504,Germany
1759,14.535,3.781,24.889,Greece
1759,9.703,-3.859,21.518,Hungary
1759,1.19,-7.435,8.682,Iceland
1759,9.498,2.064,15.387,Ireland
1759,9.583,3.59,15.084,Isle Of Man
1759,12.898,3.794,23.012,Italy
1759,5.172,-9.71,17.937,Latvia
1759,4.889,-5.788,15.995,Liechtenstein
1759,5.8,-8.442,18.064,Lithuania
1759,9.5,-0.733,20.128,Luxembourg
1759,10.22,-2.474,21.397,Macedonia
1759,18.363,11.589,26.372,Malta
1759,8.622,-6.282,21.276,Moldova
1759,9.332,0.124,20.404,Monaco
1759,10.141,-1.852,21.051,Montenegro
1759,9.589,-0.405,19.215,Netherlands
1759,0.087,-11.869,10.985,Norway
1759,7.467,-6.304,19.395,Poland
1759,14.453,5.578,22.374,Portugal
1759,8.553,-5.334,20.114,Romania
1759,14.019,5.819,23.584,San Marino
1759,9.894,-3.09,21.045,Serbia
1759,7.509,-5.545,18.938,Slovakia
1759,9.803,-1.847,21.154,Slovenia
1759,13.504,3.868,22.855,Spain
1759,2.472,-11.278,15.28,Sweden
1759,7.247,-2.696,18.409,Switzerland
1759,19.794,8.877,30.004,Tunisia
1759,7.281,-7.929,20.384,Ukraine
1759,8.895,0.8,16.033,United Kingdom
1760,12.155,1.442,22.342,Albania
1760,11.082,2.615,19.914,Andorra
1760,6.38,-5.369,16.346,Austria
1760,19.251,19.251,19.251,Bahamas
1760,4.752,-11.685,17.386,Belarus
1760,9.652,-0.429,17.782,Belgium
1760,10.234,-1.442,20.458,Bosnia And Herzegovina
1760,9.805,-2.821,20.899,Bulgaria
1760,11.277,-0.541,21.766,Croatia
1760,7.691,-4.616,17.843,Czech Republic
1760,7.661,-3.958,16.87,Denmark
1760,3.451,-13.895,17.142,Estonia
1760,5.722,-0.423,10.532,Faroe Islands
1760,-0.286,-18.518,15.003,Finland
1760,10.471,1.433,18.825,France
1760,8.38,-2.846,17.651,Germany
1760,14.086,3.714,24.456,Greece
1760,9.497,-4.11,20.537,Hungary
1760,0.26,-7.465,7.827,Iceland
1760,8.829,2.029,14.235,Ireland
1760,8.926,2.541,13.986,Isle Of Man
1760,12.732,3.389,22.195,Italy
1760,4.174,-12.656,17.322,Latvia
1760,5.022,-5.663,14.518,Liechtenstein
1760,4.997,-10.953,17.272,Lithuania
1760,9.439,-0.847,18.08,Luxembourg
1760,9.86,-2.632,20.98,Macedonia
1760,17.944,11.133,26.144,Malta
1760,8.073,-7.213,20.36,Moldova
1760,9.224,-0.47,19.355,Monaco
1760,9.853,-1.997,20.495,Montenegro
1760,9.151,-0.999,16.936,Netherlands
1760,-0.93,-14.392,10.715,Norway
1760,7.114,-7.28,18.179,Poland
1760,13.899,6.09,21.632,Portugal
1760,8.137,-5.984,19.402,Romania
1760,13.903,4.66,22.748,San Marino
1760,9.602,-3.367,20.405,Serbia
1760,7.298,-5.87,17.838,Slovakia
1760,9.735,-1.932,20.081,Slovenia
1760,13.071,4.19,22.276,Spain
1760,1.436,-14.932,14.959,Sweden
1760,7.375,-2.864,16.935,Switzerland
1760,19.304,8.797,29.686,Tunisia
1760,6.618,-9.197,19.231,Ukraine
1760,8.256,0.313,14.49,United Kingdom
1761,12.876,0.985,25.669,Albania
1761,11.302,1.432,22.314,Andorra
1761,6.573,-5.995,17.079,Austria
1761,,,,Bahamas
1761,6.102,-8.991,20.067,Belarus
1761,9.722,-0.578,18.499,Belgium
1761,10.721,-1.695,22.875,Bosnia And Herzegovina
1761,10.756,-2.739,24.656,Bulgaria
1761,11.657,-0.883,23.64,Croatia
1761,8.074,-4.784,18.702,Czech Republic
1761,8.426,-0.983,17.819,Denmark
1761,5.096,-8.751,18.465,Estonia
1761,7.056,1.518,12.104,Faroe Islands
1761,1.572,-12.852,17.174,Finland
1761,10.54,0.682,20.066,France
1761,8.596,-2.977,18.497,Germany
1761,15.025,3.265,28.425,Greece
1761,10.075,-4.025,22.448,Hungary
1761,1.778,-6.704,11.887,Iceland
1761,9.658,2.203,16.857,Ireland
1761,9.636,3.903,15.369,Isle Of Man
1761,12.972,2.468,24.218,Italy
1761,5.638,-8.491,18.612,Latvia
1761,4.935,-6.609,14.769,Liechtenstein
1761,6.273,-7.385,18.477,Lithuania
1761,9.414,-1.233,18.557,Luxembourg
1761,10.645,-2.983,24.486,Macedonia
1761,18.693,10.35,29.08,Malta
1761,9.208,-6.256,24.32,Moldova
1761,9.181,-1.757,20.461,Monaco
1761,10.495,-2.401,23.628,Montenegro
1761,9.425,-0.127,18.086,Netherlands
1761,0.59,-10.289,12.293,Norway
1761,7.919,-5.641,19.223,Poland
1761,14.759,4.804,25.794,Portugal
1761,9.061,-5.468,22.841,Romania
1761,14.108,4.249,24.279,San Marino
1761,10.286,-3.496,23.394,Serbia
1761,7.916,-5.467,19.346,Slovakia
1761,9.983,-2.428,21.412,Slovenia
1761,13.699,2.962,26.033,Spain
1761,2.915,-9.454,15.343,Sweden
1761,7.183,-4.017,17.176,Switzerland
1761,20.135,8.06,33.811,Tunisia
1761,7.907,-7.741,23.409,Ukraine
1761,8.934,1.137,15.919,United Kingdom
1762,12.7,2.221,23.825,Albania
1762,11.144,1.003,21.994,Andorra
1762,6.081,-6.012,17.368,Austria
1762,,,,Bahamas
1762,5.803,-6.02,18.065,Belarus
1762,9.065,-1.011,18.669,Belgium
1762,10.442,-1.111,21.961,Bosnia And Herzegovina
1762,10.587,-0.754,22.265,Bulgaria
1762,11.325,-0.581,23.133,Croatia
1762,7.425,-4.146,18.533,Czech Republic
1762,7.308,-0.701,16.269,Denmark
1762,4.755,-5.258,16.789,Estonia
1762,6.23,2.197,9.767,Faroe Islands
1762,1.135,-8.654,14.3,Finland
1762,10.205,-0.033,20.492,France
1762,7.806,-2.766,18.141,Germany
1762,14.899,5.192,25.81,Greece
1762,9.676,-3.065,21.674,Hungary
1762,1.211,-4.024,8.386,Iceland
1762,9.093,3.846,15.379,Ireland
1762,8.945,3.38,14.396,Isle Of Man
1762,12.743,2.552,23.84,Italy
1762,5.238,-5.472,17.405,Latvia
1762,4.485,-7.366,15.622,Liechtenstein
1762,5.8,-4.791,17.448,Lithuania
1762,8.801,-1.826,19.028,Luxembourg
1762,10.469,-1.524,22.484,Macedonia
1762,18.61,11.732,26.857,Malta
1762,9.011,-3.746,21.805,Moldova
1762,8.959,-2.461,21.043,Monaco
1762,10.278,-1.38,22.129,Montenegro
1762,8.585,-0.113,17.409,Netherlands
1762,-0.234,-7.945,10.015,Norway
1762,7.263,-4.052,18.436,Poland
1762,14.702,6.369,23.344,Portugal
1762,8.816,-3.558,20.857,Romania
1762,13.819,4.644,24.131,San Marino
1762,10.031,-2.311,21.923,Serbia
1762,7.431,-4.351,18.725,Slovakia
1762,9.606,-2.471,21.339,Slovenia
1762,13.609,3.774,24.329,Spain
1762,2.078,-7.167,13.712,Sweden
1762,6.824,-5.016,18.265,Switzerland
1762,20.085,9.51,31.318,Tunisia
1762,7.734,-4.799,20.584,Ukraine
1762,8.222,2.327,15.239,United Kingdom
1763,12.025,0.998,23.834,Albania
1763,10.746,1.113,20.613,Andorra
1763,5.795,-7.608,16.799,Austria
1763,,,,Bahamas
1763,4.929,-9.026,19.885,Belarus
1763,8.878,-3.594,17.904,Belgium
1763,9.917,-2.543,21.676,Bosnia And Herzegovina
1763,9.792,-2.675,22.86,Bulgaria
1763,10.874,-1.951,22.702,Croatia
1763,7.211,-6.695,18.55,Czech Republic
1763,7.25,-3.401,17.088,Denmark
1763,3.865,-8.434,19.264,Estonia
1763,6.028,2.389,11.337,Faroe Islands
1763,0.467,-12.381,17.516,Finland
1763,9.928,-0.909,19.267,France
1763,7.712,-5.591,17.915,Germany
1763,14.108,3.872,26.202,Greece
1763,9.192,-5.095,21.833,Hungary
1763,0.707,-4.77,10.153,Iceland
1763,8.665,2.135,14.929,Ireland
1763,8.649,2.316,13.88,Isle Of Man
1763,12.312,1.963,22.834,Italy
1763,4.406,-8.494,19.302,Latvia
1763,4.245,-8.545,14.749,Liechtenstein
1763,5.072,-8.08,19.075,Lithuania
1763,8.618,-4.286,18.218,Luxembourg
1763,9.76,-2.941,22.667,Macedonia
1763,17.918,11.057,26.626,Malta
1763,8.143,-6.296,22.991,Moldova
1763,8.724,-2.398,19.656,Monaco
1763,9.654,-2.68,22.065,Montenegro
1763,8.459,-3.481,17.107,Netherlands
1763,-0.414,-9.266,12.531,Norway
1763,6.886,-7.321,19.441,Poland
1763,13.911,6.226,22.851,Portugal
1763,8.077,-5.847,21.58,Romania
1763,13.417,3.355,23.561,San Marino
1763,9.408,-3.981,22.048,Serbia
1763,6.997,-6.787,19.11,Slovakia
1763,9.23,-3.721,20.7,Slovenia
1763,12.962,3.712,23.372,Spain
1763,1.843,-9.422,16.329,Sweden
1763,6.611,-5.78,17.225,Switzerland
1763,19.368,9.157,31.16,Tunisia
1763,6.782,-7.563,22.141,Ukraine
1763,7.962,0.046,14.646,United Kingdom
1764,12.864,3.755,21.554,Albania
1764,11.238,4.912,18.924,Andorra
1764,6.406,-2.049,16.558,Austria
1764,,,,Bahamas
1764,6.137,-5.778,18.873,Belarus
1764,9.452,1.75,18.641,Belgium
1764,10.668,1.108,20.179,Bosnia And Herzegovina
1764,10.767,0.078,20.453,Bulgaria
1764,11.577,2.116,21.545,Croatia
1764,7.788,-0.966,18.764,Czech Republic
1764,7.701,-0.286,18.773,Denmark
1764,5.116,-5.943,19.088,Estonia
1764,6.198,3.435,10.458,Faroe Islands
1764,1.347,-10.95,16.287,Finland
1764,10.382,4.206,18.524,France
1764,8.21,-0.293,18.833,Germany
1764,15.021,6.029,23.377,Greece
1764,9.967,-0.661,20.887,Hungary
1764,1.143,-4.136,7.726,Iceland
1764,9.032,5.145,14.47,Ireland
1764,8.933,4.667,14.173,Isle Of Man
1764,12.931,5.297,21.329,Italy
1764,5.619,-5.412,19.299,Latvia
1764,4.819,-2.78,14.48,Liechtenstein
1764,6.186,-4.439,19.169,Lithuania
1764,9.189,1.465,18.86,Luxembourg
1764,10.638,-0.155,20.358,Macedonia
1764,18.688,12.861,24.413,Malta
1764,9.248,-3.258,20.916,Moldova
1764,9.12,1.381,18.165,Monaco
1764,10.471,0.457,20.104,Montenegro
1764,9.056,1.49,18.28,Netherlands
1764,-0.107,-8.526,11.71,Norway
