Year,AverageTemperature,MinimumTemperature,MaximumTemperature,State,Country
1753,6.34,-7.342,17.376,Kaliningrad,Russia
1753,4.256,-11.867,18.117,Kaluga,Russia
1753,0.885,-15.586,15.314,Karelia,Russia
1753,12.939,-0.276,25.209,Kentucky,United States
1753,1.342,-16.596,17.816,Kirov,Russia
1753,-2.511,-20.419,14.975,Komi,Russia
1753,0.413,-17.733,17.334,Komi Permyak,Russia
1753,2.028,-15.472,17.526,Kostroma,Russia
1753,10.183,-2.862,22.991,Krasnodar,Russia
1753,5.41,-10.398,19.441,Kursk,Russia
1753,3.077,-12.491,15.982,Leningrad,Russia
1753,4.782,-11.564,19.595,Lipetsk,Russia
1753,4.358,-10.174,18.468,Maine,United States
1753,2.535,-15.161,18.79,Mariy El,Russia
1753,12.131,0.12,24.332,Maryland,United States
1753,7.63,-4.929,20.576,Massachusetts,United States
1753,6.538,-7.321,20.407,Michigan,United States
1753,4.465,-14.02,20.953,Minnesota,United States
1753,12.295,-2.354,25.915,Missouri,United States
1753,3.638,-13.443,19.226,Mordovia,Russia
1753,3.869,-12.491,17.899,Moscow City,Russia
1753,3.843,-12.669,18.12,Moskva,Russia
1753,-1.321,-15.915,11.989,Murmansk,Russia
1753,-4.783,-19.593,11.151,Nenets,Russia
1753,3.699,-11.349,18.298,New Brunswick,Canada
1753,5.62,-8.24,19.476,New Hampshire,United States
1753,10.622,-1.444,23.229,New Jersey,United States
1753,7.185,-6.271,20.757,New York,United States
1753,-1.855,-17.552,13.17,Newfoundland And Labrador,Canada
1753,3.139,-14.217,18.79,Nizhegorod,Russia
1753,14.764,3.171,25.517,North Carolina,United States
1753,5.628,-6.016,17.829,Nova Scotia,Canada
1753,3.446,-12.99,16.79,Novgorod,Russia
1753,10.315,-2.991,23.396,Ohio,United States
1753,-0.067,-19.086,17.221,Ontario,Canada
1753,4.8,-11.183,18.922,Orel,Russia
1753,9.107,-3.505,21.967,Pennsylvania,United States
1753,3.955,-13.197,19.881,Penza,Russia
1753,0.028,-18.465,17.278,Perm',Russia
1753,4.921,-8.263,18.402,Prince Edward Island,Canada
1753,4.303,-11.396,16.873,Pskov,Russia
1753,8.973,-2.597,21.266,Rhode Island,United States
1753,8.162,-7.344,23.308,Rostov,Russia
1753,4.054,-12.766,19.158,Ryazan',Russia
1753,3.51,-14.729,20.659,Samara,Russia
1753,4.829,-13.144,21.787,Saratov,Russia
1753,4.26,-11.556,17.518,Smolensk,Russia
1753,17.014,5.58,27.161,South Carolina,United States
1753,4.608,-12.097,19.964,Tambov,Russia
1753,2.694,-15.002,19.42,Tatarstan,Russia
1753,14.041,1.277,25.592,Tennessee,United States
1753,4.207,-12.072,18.585,Tula,Russia
1753,3.451,-12.975,17.165,Tver',Russia
1753,1.6,-16.328,18.429,Udmurt,Russia
1753,3.388,-14.292,19.962,Ul'Yanovsk,Russia
1753,5.405,-8.669,19.358,Vermont,United States
1753,12.794,0.691,24.406,Virginia,United States
1753,3.668,-13.328,18.678,Vladimir,Russia
1753,6.62,-10.495,23.004,Volgograd,Russia
1753,1.638,-15.653,16.633,Vologda,Russia
1753,5.865,-10.471,21,Voronezh,Russia
1753,10.94,-1.509,22.885,West Virginia,United States
1753,5.932,-10.432,21.062,Wisconsin,United States
1753,2.759,-14.341,17.525,Yaroslavl',Russia
1754,10.106,-4.14,21.629,Adygey,Russia
1754,17.094,6.576,27.057,Alabama,United States
1754,-1.881,-17.684,12.668,Arkhangel'Sk,Russia
1754,6.276,-11.219,20.33,Belgorod,Russia
1754,5.46,-10.539,18.415,Bryansk,Russia
1754,3.533,-15.55,19.572,Chuvash,Russia
1754,3.88,-10.486,16.155,City Of St. Petersburg,Russia
1754,9.549,-2.363,21.365,Connecticut,United States
1754,12.332,0.648,23.992,Delaware,United States
1754,12.222,0.131,24.525,District Of Columbia,United States
1754,21.459,13.471,27.757,Florida,United States
1754,17.583,7.614,27.011,Georgia (State),United States
1754,10.837,-3.636,24.581,Illinois,United States
1754,10.932,-2.802,24.205,Indiana,United States
1754,8.481,-8.045,23.755,Iowa,United States
1754,3.442,-13.872,18.269,Ivanovo,Russia
1754,6.271,-5.917,16.442,Kaliningrad,Russia
1754,4.432,-12.042,17.943,Kaluga,Russia
1754,1.089,-14.193,15.342,Karelia,Russia
1754,13.027,0.691,25.056,Kentucky,United States
1754,1.651,-16.519,17.873,Kirov,Russia
1754,-2.201,-19.799,14.985,Komi,Russia
1754,0.729,-17.233,17.359,Komi Permyak,Russia
1754,2.306,-15.027,17.607,Kostroma,Russia
1754,10.437,-4.631,22.732,Krasnodar,Russia
1754,5.594,-11.394,19.193,Kursk,Russia
1754,3.234,-11.7,16.002,Leningrad,Russia
1754,5.011,-13.006,19.471,Lipetsk,Russia
1754,4.63,-9.652,18.435,Maine,United States
1754,2.837,-15.719,18.843,Mariy El,Russia
1754,12.476,0.71,24.269,Maryland,United States
1754,8.074,-4.285,20.592,Massachusetts,United States
1754,6.687,-8.145,20.27,Michigan,United States
1754,4.221,-13.981,20.744,Minnesota,United States
1754,12.252,-1.958,25.71,Missouri,United States
1754,3.918,-14.79,19.226,Mordovia,Russia
1754,4.07,-12.392,17.826,Moscow City,Russia
1754,4.055,-12.688,18.069,Moskva,Russia
1754,-1.067,-14.838,11.96,Murmansk,Russia
1754,-4.477,-20.765,11.119,Nenets,Russia
1754,3.931,-11.048,18.231,New Brunswick,Canada
1754,5.953,-7.484,19.479,New Hampshire,United States
1754,11.021,-1.085,23.198,New Jersey,United States
1754,7.488,-6.064,20.728,New York,United States
1754,-1.716,-18.401,12.999,Newfoundland And Labrador,Canada
1754,3.423,-14.669,18.836,Nizhegorod,Russia
1754,14.972,4.392,25.395,North Carolina,United States
1754,6.065,-7.042,17.748,Nova Scotia,Canada
1754,3.602,-11.666,16.759,Novgorod,Russia
1754,10.47,-2.703,23.28,Ohio,United States
1754,-0.14,-18.943,17.059,Ontario,Canada
1754,4.99,-12.15,18.717,Orel,Russia
1754,9.374,-3.344,21.908,Pennsylvania,United States
1754,4.237,-14.99,19.857,Penza,Russia
1754,0.345,-18.083,17.277,Perm',Russia
1754,5.283,-8.988,18.318,Prince Edward Island,Canada
1754,4.381,-10.041,16.627,Pskov,Russia
1754,9.511,-2.33,21.275,Rhode Island,United States
1754,8.424,-9.343,23.124,Rostov,Russia
1754,4.3,-13.849,19.114,Ryazan',Russia
1754,3.823,-16.829,20.651,Samara,Russia
1754,5.127,-15.208,21.744,Saratov,Russia
1754,4.395,-11.219,17.283,Smolensk,Russia
1754,17.156,6.981,27.012,South Carolina,United States
1754,4.863,-13.791,19.888,Tambov,Russia
1754,3.007,-16.625,19.436,Tatarstan,Russia
1754,14.116,2.494,25.421,Tennessee,United States
1754,4.414,-12.847,18.461,Tula,Russia
1754,3.627,-12.214,17.107,Tver',Russia
1754,1.916,-17.004,18.456,Udmurt,Russia
1754,3.692,-16.109,19.966,Ul'Yanovsk,Russia
1754,5.705,-8.029,19.353,Vermont,United States
1754,13.031,1.775,24.309,Virginia,United States
1754,3.918,-13.634,18.687,Vladimir,Russia
1754,6.902,-12.534,22.901,Volgograd,Russia
1754,1.894,-14.724,16.73,Vologda,Russia
1754,6.108,-12.241,20.855,Voronezh,Russia
1754,11.134,-0.694,22.783,West Virginia,United States
1754,5.842,-10.354,20.885,Wisconsin,United States
1754,3,-13.877,17.581,Yaroslavl',Russia
1755,9.896,-3.239,22.007,Adygey,Russia
1755,15.02,6.247,26.607,Alabama,United States
1755,-2.061,-16.783,13.645,Arkhangel'Sk,Russia
1755,6.138,-10.966,21.232,Belgorod,Russia
1755,5.352,-10.98,19.711,Bryansk,Russia
1755,3.388,-14.489,20.333,Chuvash,Russia
1755,3.844,-11.308,18.32,City Of St. Petersburg,Russia
1755,6.147,-2.586,18.212,Connecticut,United States
1755,9.162,0.363,21.446,Delaware,United States
1755,9.151,-0.505,22.397,District Of Columbia,United States
1755,20.137,13.964,28.099,Florida,United States
1755,15.548,7.209,26.596,Georgia (State),United States
1755,8.1,-4.371,23.298,Illinois,United States
1755,8.154,-3.477,22.867,Indiana,United States
1755,5.691,-8.743,22.653,Iowa,United States
1755,3.345,-13.31,19.42,Ivanovo,Russia
1755,6.109,-8.694,18.655,Kaliningrad,Russia
1755,4.341,-12.232,19.276,Kaluga,Russia
1755,0.956,-14.316,17.09,Karelia,Russia
1755,10.443,0.071,23.839,Kentucky,United States
1755,1.498,-15.862,18.627,Kirov,Russia
1755,-2.399,-19.616,15.604,Komi,Russia
1755,0.549,-17.06,17.934,Komi Permyak,Russia
1755,2.196,-14.281,18.688,Kostroma,Russia
1755,10.236,-3.807,23.166,Krasnodar,Russia
1755,5.472,-11.402,20.259,Kursk,Russia
1755,3.193,-12.187,17.959,Leningrad,Russia
1755,4.889,-12.647,20.451,Lipetsk,Russia
1755,1.268,-10.284,15.681,Maine,United States
1755,2.695,-14.654,19.644,Mariy El,Russia
1755,9.452,0.281,22.132,Maryland,United States
1755,4.646,-4.89,17.588,Massachusetts,United States
1755,3.692,-7.754,18.376,Michigan,United States
1755,1.307,-14.674,19.564,Minnesota,United States
1755,9.663,-2.654,24.499,Missouri,United States
1755,3.786,-13.97,20.084,Mordovia,Russia
1755,3.99,-12.385,19.175,Moscow City,Russia
1755,3.972,-12.587,19.384,Moskva,Russia
1755,-1.292,-14.491,13.321,Murmansk,Russia
1755,-4.707,-19.425,11.723,Nenets,Russia
1755,0.591,-11.566,15.419,New Brunswick,Canada
1755,2.515,-8.239,16.773,New Hampshire,United States
1755,7.793,-1.546,20.656,New Jersey,United States
1755,4.184,-6.37,18.277,New York,United States
1755,-4.878,-18.088,10.187,Newfoundland And Labrador,Canada
1755,3.3,-13.836,19.771,Nizhegorod,Russia
1755,12.487,4.016,24.169,North Carolina,United States
1755,2.927,-6.274,14.475,Nova Scotia,Canada
1755,3.566,-12.162,18.61,Novgorod,Russia
1755,7.592,-3.164,21.701,Ohio,United States
1755,-3.479,-19.596,15.125,Ontario,Canada
1755,4.877,-12.147,19.842,Orel,Russia
1755,6.302,-3.698,19.838,Pennsylvania,United States
1755,4.094,-14.121,20.636,Penza,Russia
1755,0.153,-18.066,17.733,Perm',Russia
1755,2.014,-8.532,15.096,Prince Edward Island,Canada
1755,4.322,-11.207,18.663,Pskov,Russia
1755,6.103,-2.58,18.102,Rhode Island,United States
1755,8.244,-8.54,23.682,Rostov,Russia
1755,4.189,-13.375,20.148,Ryazan',Russia
1755,3.65,-15.542,21.193,Samara,Russia
1755,4.96,-14.123,22.343,Saratov,Russia
1755,4.315,-11.809,18.836,Smolensk,Russia
1755,14.914,6.561,26.229,South Carolina,United States
1755,4.731,-13.181,20.762,Tambov,Russia
1755,2.841,-15.333,20.031,Tatarstan,Russia
1755,11.716,1.959,24.439,Tennessee,United States
1755,4.312,-12.736,19.636,Tula,Russia
1755,3.57,-12.488,18.718,Tver',Russia
1755,1.746,-16.067,19.041,Udmurt,Russia
1755,3.534,-14.979,20.619,Ul'Yanovsk,Russia
1755,2.298,-8.694,16.773,Vermont,United States
1755,10.302,1.243,22.699,Virginia,United States
1755,3.819,-13.16,19.821,Vladimir,Russia
1755,6.729,-11.585,23.484,Volgograd,Russia
1755,1.802,-14.244,18.054,Vologda,Russia
1755,5.964,-11.695,21.663,Voronezh,Russia
1755,8.392,-1.158,21.24,West Virginia,United States
1755,2.961,-10.988,19.526,Wisconsin,United States
1755,2.922,-13.542,18.918,Yaroslavl',Russia
1756,10.576,-1.327,21.55,Adygey,Russia
1756,17.234,5.718,26.784,Alabama,United States
1756,-1.67,-15.363,12.657,Arkhangel'Sk,Russia
1756,6.784,-7.978,20.722,Belgorod,Russia
1756,6.002,-7.899,19.251,Bryansk,Russia
1756,3.869,-12.653,19.516,Chuvash,Russia
1756,4.18,-7.315,17.323,City Of St. Petersburg,Russia
1756,9.692,-2.186,21.346,Connecticut,United States
1756,12.454,0.406,23.913,Delaware,United States
1756,12.264,-0.523,24.422,District Of Columbia,United States
1756,21.784,13.457,27.73,Florida,United States
1756,17.707,6.664,26.762,Georgia (State),United States
1756,11.106,-3.348,24.332,Illinois,United States
1756,11.161,-2.772,23.988,Indiana,United States
1756,8.829,-7.041,23.47,Iowa,United States
1756,3.802,-11.461,18.561,Ivanovo,Russia
1756,6.938,-4.211,18.74,Kaliningrad,Russia
1756,4.917,-9.392,18.667,Kaluga,Russia
1756,1.3,-11.98,16.006,Karelia,Russia
1756,13.159,0.183,24.836,Kentucky,United States
1756,1.924,-14.763,17.721,Kirov,Russia
1756,-2.007,-18.69,14.658,Komi,Russia
1756,0.961,-16.192,17.031,Komi Permyak,Russia
1756,2.624,-13.157,17.775,Kostroma,Russia
1756,10.918,-1.501,22.714,Krasnodar,Russia
1756,6.113,-8.289,19.757,Kursk,Russia
1756,3.542,-9.026,16.979,Leningrad,Russia
1756,5.479,-9.503,19.834,Lipetsk,Russia
1756,4.888,-8.99,18.368,Maine,United States
1756,3.153,-13.288,18.785,Mariy El,Russia
1756,12.565,0.238,24.162,Maryland,United States
1756,8.134,-4.427,20.585,Massachusetts,United States
1756,7.168,-6.135,20.07,Michigan,United States
1756,4.677,-12.196,20.455,Minnesota,United States
1756,12.511,-1.699,25.424,Missouri,United States
1756,4.302,-11.514,19.324,Mordovia,Russia
1756,4.508,-9.951,18.455,Moscow City,Russia
1756,4.48,-10.16,18.642,Moskva,Russia
1756,-0.92,-12.571,12.256,Murmansk,Russia
1756,-4.313,-17.769,10.772,Nenets,Russia
1756,4.299,-10.04,18.119,New Brunswick,Canada
1756,6.047,-7.418,19.457,New Hampshire,United States
1756,11.106,-1.374,23.134,New Jersey,United States
1756,7.67,-5.483,20.665,New York,United States
1756,-0.966,-15.866,12.758,Newfoundland And Labrador,Canada
1756,3.774,-12.147,18.936,Nizhegorod,Russia
1756,15.045,3.511,25.214,North Carolina,United States
1756,6.606,-4.658,17.62,Nova Scotia,Canada
1756,3.975,-9.806,17.751,Novgorod,Russia
1756,10.661,-2.675,23.107,Ohio,United States
1756,0.484,-17.432,16.828,Ontario,Canada
1756,5.493,-8.978,19.292,Orel,Russia
1756,9.501,-3.3,21.807,Pennsylvania,United States
1756,4.631,-11.39,19.915,Penza,Russia
1756,0.575,-17.174,16.877,Perm',Russia
1756,5.823,-6.892,18.185,Prince Edward Island,Canada
1756,4.823,-7.951,17.975,Pskov,Russia
1756,9.649,-2.196,21.259,Rhode Island,United States
1756,8.89,-5.836,23.158,Rostov,Russia
1756,4.725,-10.609,19.433,Ryazan',Russia
1756,4.151,-13.044,20.435,Samara,Russia
1756,5.508,-11.171,21.652,Saratov,Russia
1756,4.893,-8.824,18.258,Smolensk,Russia
1756,17.25,6.021,26.798,South Carolina,United States
1756,5.301,-10.158,20.102,Tambov,Russia
1756,3.311,-13.497,19.22,Tatarstan,Russia
1756,14.234,1.802,25.179,Tennessee,United States
1756,4.882,-9.769,18.997,Tula,Russia
1756,4.038,-10.097,17.934,Tver',Russia
